  -1.2123748e+00   1.5436778e+00  -6.6197576e-01
  -1.4209290e+00   1.5226112e+00  -5.3024729e-01
  -1.5550601e+00   1.5124945e+00  -5.9113221e-01
  -1.5885967e+00   1.2964146e+00  -5.6675196e-01
  -1.6902519e+00   1.1773959e+00  -4.4804353e-01
  -1.6908895e+00   1.0354857e+00  -6.7128568e-01
  -1.8339215e+00   9.3764930e-01  -5.6364145e-01
  -1.8215473e+00   7.4344198e-01  -6.3116404e-01
  -1.9722663e+00   6.2656934e-01  -6.4157499e-01
  -1.9007650e+00   4.1161018e-01  -6.1082655e-01
  -1.9100110e+00   2.4893103e-01  -6.5734991e-01
  -1.9317255e+00   2.8765307e-02  -6.0768064e-01
  -1.8399876e+00  -3.0025965e-01  -5.7875763e-01
  -1.7149881e+00  -4.4288452e-01  -6.8624246e-01
  -1.7035561e+00  -5.6375676e-01  -5.2088784e-01
  -1.5128873e+00  -8.1761700e-01  -5.2880765e-01
  -1.4295042e+00  -9.4751031e-01  -5.6751150e-01
  -1.2912371e+00  -1.2052487e+00  -5.2803582e-01
  -1.1830007e+00  -1.4145640e+00  -5.1634231e-01
  -9.5076241e-01  -1.6382835e+00  -5.5306249e-01
  -7.3240092e-01  -1.6884696e+00  -5.4480668e-01
  -6.2279308e-01  -1.8787642e+00  -5.2366773e-01
  -4.3878973e-01  -1.9707326e+00  -4.3175146e-01
  -1.8975548e-01  -2.0957023e+00  -5.3762028e-01
   5.2139610e-02  -2.2568732e+00  -4.5596716e-01
   2.7070273e-01  -2.2346840e+00  -3.7497362e-01
   5.2554174e-01  -2.3808240e+00  -3.4781751e-01
   6.7797444e-01  -2.3989172e+00  -3.0326031e-01
   1.0461688e+00  -2.3774401e+00  -2.1955464e-01
   1.2686862e+00  -2.4318507e+00  -9.6817462e-02
   1.4694450e+00  -2.3873733e+00  -1.1308627e-01
   1.6818446e+00  -2.2934533e+00   7.0412507e-02
   1.9214303e+00  -2.1468154e+00   3.5688603e-01
   2.0741430e+00  -2.1325707e+00   4.9117418e-01
   2.2198827e+00  -1.8899350e+00   7.4658578e-01
   2.4505908e+00  -1.7369742e+00   1.0847900e+00
   2.4051799e+00  -1.5293336e+00   1.4778531e+00
   2.4253171e+00  -1.4517426e+00   2.0476972e+00
   2.3770549e+00  -1.1695418e+00   2.4582069e+00
   2.4039628e+00  -8.1364566e-01   3.1109703e+00
   2.2450255e+00  -7.8886226e-01   3.7164899e+00
   2.1380006e+00  -5.4451180e-01   4.1681555e+00
   1.8013189e+00  -3.0623470e-01   4.4358930e+00
   1.6194429e+00  -1.6690679e-01   4.5489299e+00
   1.3079261e+00   3.4355506e-02   4.2651319e+00
   1.0786753e+00   1.9150322e-01   3.8796475e+00
   8.6043019e-01   2.8635195e-01   3.3160839e+00
   6.4028562e-01   3.8668852e-01   2.7709968e+00
   4.7681022e-01   3.6842149e-01   2.1060298e+00
   2.1444002e-01   4.7604620e-01   1.4520955e+00
   2.0274550e-01   5.9430443e-01   9.9897988e-01
   8.0372259e-02   5.6422369e-01   6.9514807e-01
  -6.1823374e-02   6.8632006e-01   3.2377967e-01
  -1.2912374e-01   6.6369331e-01   9.8971481e-02
  -1.7596320e-01   5.8731156e-01  -4.2752327e-02
  -1.7129307e-01   6.6376163e-01  -1.5130298e-01
  -2.6269016e-01   6.9207134e-01  -2.4074081e-01
  -2.7098579e-01   6.9703184e-01  -3.1512936e-01
  -3.9845690e-01   7.0500608e-01  -3.5399230e-01
