age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
9.160;0.694;3.002
9.162;0.668;2.948
9.164;0.636;2.895
9.166;0.605;2.861
9.168;0.585;2.856
9.170;0.603;2.928
9.172;0.628;3.025
9.174;0.647;3.120
9.176;0.654;3.203
9.178;0.614;3.258
9.180;0.564;3.276
9.182;0.515;3.270
9.184;0.500;3.225
9.186;0.504;3.178
9.188;0.531;3.176
9.190;0.569;3.183
9.192;0.627;3.192
9.194;0.674;3.194
9.196;0.659;3.163
9.198;0.628;3.130
9.200;0.595;3.112
9.202;0.560;3.111
9.204;0.552;3.151
9.206;0.544;3.208
9.208;0.504;3.286
9.210;0.468;3.359
9.212;0.467;3.389
9.214;0.476;3.398
9.216;0.495;3.383
9.218;0.513;3.362
9.220;0.501;3.366
9.222;0.485;3.369
9.224;0.481;3.349
9.226;0.488;3.318
9.228;0.521;3.267
9.230;0.563;3.216
9.232;0.614;3.182
9.234;0.657;3.157
9.236;0.664;3.145
9.238;0.659;3.140
9.240;0.654;3.144
9.242;0.643;3.145
9.244;0.625;3.130
9.246;0.601;3.096
9.248;0.567;3.076
9.250;0.512;3.112
9.252;0.455;3.170
9.254;0.403;3.257
9.256;0.367;3.338
9.258;0.382;3.357
9.260;0.412;3.361
9.262;0.438;3.371
9.264;0.453;3.374
9.266;0.415;3.371
9.268;0.375;3.364
9.270;0.364;3.347
9.272;0.379;3.321
9.274;0.457;3.291
9.276;0.536;3.255
9.278;0.562;3.201
9.280;0.567;3.148
9.282;0.525;3.121
9.284;0.477;3.106
9.286;0.477;3.094
9.288;0.486;3.085
9.290;0.490;3.076
9.292;0.490;3.081
9.294;0.475;3.126
9.296;0.447;3.167
9.298;0.393;3.174
9.300;0.352;3.172
9.302;0.363;3.152
9.304;0.391;3.133
9.306;0.438;3.153
9.308;0.480;3.172
9.310;0.470;3.157
9.312;0.473;3.131
9.314;0.477;3.098
9.316;0.506;3.063
9.318;0.522;3.028
9.320;0.481;2.990
9.322;0.421;2.963
9.324;0.346;2.962
9.326;0.279;2.980
9.328;0.268;3.031
9.330;0.278;3.087
9.332;0.301;3.109
9.334;0.318;3.128
9.336;0.286;3.170
9.338;0.262;3.218
9.340;0.298;3.273
9.342;0.348;3.310
9.344;0.425;3.299
9.346;0.441;3.251
9.348;0.437;3.192
9.350;0.417;3.163
9.352;0.402;3.142
9.354;0.425;3.127
9.356;0.455;3.110
9.358;0.494;3.072
9.360;0.516;3.031
9.362;0.468;2.995
9.364;0.405;2.970
9.366;0.353;2.972
9.368;0.309;2.992
9.370;0.305;3.038
9.372;0.318;3.086
9.374;0.337;3.117
9.376;0.357;3.144
9.378;0.379;3.160
9.380;0.381;3.182
9.382;0.378;3.196
9.384;0.371;3.169
9.386;0.366;3.129
9.388;0.374;3.099
9.390;0.390;3.073
9.392;0.421;3.060
9.394;0.449;3.047
9.396;0.462;3.004
9.398;0.461;2.956
9.400;0.428;2.916
9.402;0.389;2.900
9.404;0.369;2.942
9.406;0.351;3.008
9.408;0.333;3.103
9.410;0.307;3.190
9.412;0.265;3.222
9.414;0.222;3.233
9.416;0.184;3.216
9.418;0.152;3.197
9.420;0.133;3.209
9.422;0.115;3.227
9.424;0.073;3.245
9.426;0.050;3.264
9.428;0.098;3.280
9.430;0.171;3.283
9.432;0.271;3.271
9.434;0.362;3.242
9.436;0.383;3.162
9.438;0.379;3.079
9.440;0.370;3.019
9.442;0.352;2.983
9.444;0.320;3.001
9.446;0.301;3.062
9.448;0.278;3.135
9.450;0.248;3.177
9.452;0.223;3.214
9.454;0.206;3.252
9.456;0.192;3.275
9.458;0.185;3.266
9.460;0.194;3.243
9.462;0.228;3.197
9.464;0.265;3.155
9.466;0.300;3.167
9.468;0.329;3.188
9.470;0.325;3.207
9.472;0.315;3.211
9.474;0.333;3.158
9.476;0.348;3.095
9.478;0.326;3.045
9.480;0.296;3.005
9.482;0.269;3.002
9.484;0.245;3.008
9.486;0.235;2.993
9.488;0.231;2.994
9.490;0.219;3.045
9.492;0.211;3.109
9.494;0.216;3.187
9.496;0.233;3.255
9.498;0.267;3.268
9.500;0.298;3.258
9.502;0.301;3.242
9.504;0.309;3.219
9.506;0.341;3.201
9.508;0.378;3.174
9.510;0.436;3.126
9.512;0.466;3.069
9.514;0.468;3.008
9.516;0.396;2.930
9.518;0.313;2.867
9.520;0.264;2.851
9.522;0.226;2.877
9.524;0.219;2.988
9.526;0.221;3.116
9.528;0.204;3.204
9.530;0.187;3.268
9.532;0.178;3.283
9.534;0.177;3.277
9.536;0.183;3.268
9.538;0.199;3.246
9.540;0.234;3.207
9.542;0.278;3.167
9.544;0.334;3.147
9.546;0.389;3.128
9.548;0.437;3.106
9.550;0.474;3.076
9.552;0.481;3.017
9.554;0.472;2.958
9.556;0.446;2.915
9.558;0.412;2.890
9.560;0.378;2.899
9.562;0.355;2.930
9.564;0.363;2.993
9.566;0.376;3.066
9.568;0.382;3.138
9.570;0.386;3.192
9.572;0.382;3.187
9.574;0.381;3.164
9.576;0.393;3.130
9.578;0.410;3.119
9.580;0.431;3.109
9.582;0.455;3.085
9.584;0.476;3.054
9.586;0.497;3.014
9.588;0.508;2.975
9.590;0.486;2.955
9.592;0.458;2.929
9.594;0.450;2.867
9.596;0.440;2.803
9.598;0.412;2.735
9.600;0.387;2.694
9.602;0.367;2.739
9.604;0.354;2.827
9.606;0.381;2.960
9.608;0.414;3.095
9.610;0.423;3.200
9.612;0.421;3.252
9.614;0.410;3.278
9.616;0.379;3.292
9.618;0.353;3.284
9.620;0.362;3.247
9.622;0.386;3.196
9.624;0.443;3.133
9.626;0.500;3.068
9.628;0.523;3.017
9.630;0.529;2.972
9.632;0.506;2.930
9.634;0.473;2.906
9.636;0.451;2.927
9.638;0.434;2.961
9.640;0.428;2.995
9.642;0.422;3.029
9.644;0.405;3.054
9.646;0.390;3.049
9.648;0.375;3.031
9.650;0.363;3.012
9.652;0.351;2.994
9.654;0.324;2.984
9.656;0.296;2.985
9.658;0.279;3.020
9.660;0.269;3.054
9.662;0.255;3.062
9.664;0.248;3.054
9.666;0.259;3.011
9.668;0.282;2.965
9.670;0.334;2.954
9.672;0.384;2.951
9.674;0.394;2.945
9.676;0.383;2.929
9.678;0.322;2.874
9.680;0.277;2.824
9.682;0.336;2.815
9.684;0.409;2.835
9.686;0.454;2.904
9.688;0.475;2.989
9.690;0.400;3.083
9.692;0.313;3.171
9.694;0.294;3.218
9.696;0.298;3.241
9.698;0.312;3.238
9.700;0.338;3.218
9.702;0.379;3.197
9.704;0.420;3.175
9.706;0.443;3.147
9.708;0.461;3.111
9.710;0.462;3.063
9.712;0.469;3.034
9.714;0.472;3.011
9.716;0.465;3.007
9.718;0.440;3.010
9.720;0.376;2.994
9.722;0.312;2.980
9.724;0.275;2.983
9.726;0.244;3.007
9.728;0.230;3.072
9.730;0.217;3.144
9.732;0.172;3.207
9.734;0.134;3.260
9.736;0.135;3.292
9.738;0.156;3.306
9.740;0.218;3.293
9.742;0.283;3.256
9.744;0.314;3.172
9.746;0.329;3.087
9.748;0.308;3.052
9.750;0.282;3.029
9.752;0.281;3.022
9.754;0.292;3.018
9.756;0.318;2.990
9.758;0.343;2.956
9.760;0.357;2.917
9.762;0.355;2.881
9.764;0.328;2.845
9.766;0.278;2.825
9.768;0.172;2.831
9.770;0.065;2.867
9.772;0.007;2.971
9.774;-0.014;3.081
9.776;0.034;3.166
9.778;0.102;3.200
9.780;0.178;3.197
9.782;0.222;3.137
9.784;0.247;3.059
9.786;0.241;2.975
9.788;0.233;2.901
9.790;0.243;2.888
9.792;0.272;2.899
9.794;0.363;2.919
9.796;0.450;2.941
9.798;0.481;2.930
9.800;0.475;2.922
9.802;0.400;2.957
9.804;0.300;3.008
9.806;0.185;3.069
9.808;0.099;3.137
9.810;0.123;3.205
9.812;0.180;3.267
9.814;0.254;3.331
9.816;0.326;3.366
9.818;0.342;3.305
9.820;0.337;3.221
9.822;0.326;3.150
9.824;0.306;3.086
9.826;0.275;3.071
9.828;0.245;3.060
9.830;0.232;3.004
9.832;0.222;2.947
9.834;0.213;2.913
9.836;0.199;2.896
9.838;0.150;2.918
9.840;0.112;2.946
9.842;0.123;2.956
9.844;0.186;2.942
9.846;0.258;2.943
9.848;0.314;3.014
9.850;0.348;3.099
9.852;0.310;3.187
9.854;0.257;3.255
9.856;0.235;3.236
9.858;0.223;3.187
9.860;0.240;3.141
9.862;0.245;3.100
9.864;0.179;3.073
9.866;0.123;3.053
9.868;0.137;3.056
9.870;0.170;3.068
9.872;0.247;3.089
9.874;0.308;3.091
9.876;0.251;3.054
9.878;0.160;2.915
9.880;0.062;2.778
9.882;-0.002;2.736
9.884;-0.045;2.739
9.886;-0.056;2.810
9.888;-0.045;2.908
9.890;0.009;2.980
9.892;0.067;3.047
9.894;0.081;3.127
9.896;0.074;3.193
9.898;0.024;3.219
9.900;-0.020;3.222
9.902;0.004;3.191
9.904;0.052;3.138
9.906;0.104;3.063
9.908;0.160;2.997
9.910;0.203;2.966
9.912;0.271;2.985
9.914;0.340;3.016
9.916;0.392;3.016
9.918;0.428;3.004
9.920;0.445;2.973
9.922;0.442;2.948
9.924;0.398;2.949
9.926;0.343;2.964
9.928;0.288;3.002
9.930;0.250;3.047
9.932;0.292;3.084
9.934;0.351;3.115
9.936;0.376;3.121
9.938;0.386;3.115
9.940;0.368;3.105
9.942;0.349;3.103
9.944;0.365;3.140
9.946;0.382;3.171
9.948;0.357;3.160
9.950;0.329;3.135
9.952;0.324;3.094
9.954;0.335;3.052
9.956;0.384;3.035
9.958;0.435;3.016
9.960;0.440;2.964
9.962;0.432;2.910
9.964;0.422;2.884
9.966;0.414;2.871
9.968;0.422;2.874
9.970;0.439;2.882
9.972;0.470;2.879
9.974;0.502;2.870
9.976;0.535;2.850
9.978;0.517;2.832
9.980;0.490;2.816
9.982;0.477;2.801
9.984;0.467;2.791
9.986;0.470;2.796
9.988;0.483;2.815
9.990;0.502;2.869
9.992;0.524;2.919
9.994;0.559;2.934
9.996;0.591;2.922
9.998;0.585;2.851
10.000;0.577;2.778
10.002;0.608;2.768
10.004;0.642;2.773
10.006;0.662;2.774
10.008;0.668;2.777
10.010;0.638;2.763
10.012;0.593;2.763
10.014;0.544;2.835
10.016;0.497;2.921
10.018;0.464;2.989
10.020;0.443;3.045
10.022;0.446;3.070
10.024;0.462;3.081
10.026;0.490;3.091
10.028;0.523;3.094
10.030;0.564;3.079
10.032;0.600;3.056
10.034;0.606;3.035
10.036;0.605;3.007
10.038;0.614;2.965
10.040;0.618;2.921
10.042;0.610;2.874
10.044;0.593;2.850
10.046;0.578;2.840
10.048;0.596;2.860
10.050;0.614;2.883
10.052;0.613;2.885
10.054;0.598;2.885
10.056;0.553;2.885
10.058;0.506;2.890
10.060;0.487;2.920
10.062;0.477;2.948
10.064;0.473;2.942
10.066;0.468;2.929
10.068;0.441;2.914
10.070;0.423;2.909
10.072;0.444;2.951
10.074;0.483;2.991
10.076;0.551;2.999
10.078;0.617;2.984
10.080;0.635;2.908
10.082;0.646;2.828
10.084;0.682;2.784
10.086;0.717;2.763
10.088;0.758;2.805
10.090;0.774;2.864
10.092;0.690;2.895
10.094;0.595;2.928
10.096;0.549;2.971
10.098;0.533;3.016
10.100;0.597;3.078
10.102;0.673;3.133
10.104;0.690;3.141
10.106;0.692;3.132
10.108;0.681;3.119
10.110;0.697;3.113
10.112;0.715;3.096
10.114;0.730;3.043
10.116;0.735;2.987
10.118;0.709;2.931
10.120;0.676;2.885
10.122;0.653;2.876
10.124;0.640;2.889
10.126;0.663;2.933
10.128;0.689;2.978
10.130;0.693;3.001
10.132;0.681;2.998
10.134;0.636;2.927
10.136;0.587;2.850
10.138;0.552;2.817
10.140;0.535;2.814
10.142;0.561;2.874
10.144;0.602;2.946
10.146;0.639;3.012
10.148;0.639;3.026
10.150;0.625;3.019
10.152;0.592;2.993
10.154;0.560;2.957
10.156;0.558;2.924
10.158;0.564;2.893
10.160;0.564;2.867
10.162;0.562;2.846
10.164;0.558;2.832
10.166;0.553;2.827
10.168;0.550;2.841
10.170;0.555;2.866
10.172;0.570;2.894
10.174;0.589;2.918
10.176;0.611;2.915
10.178;0.652;2.966
10.180;0.687;3.014
10.182;0.697;3.027
10.184;0.694;3.019
10.186;0.661;2.952
10.188;0.618;2.871
10.190;0.589;2.830
10.192;0.560;2.806
10.194;0.495;2.769
10.196;0.451;2.753
10.198;0.496;2.818
10.200;0.563;2.902
10.202;0.640;2.990
10.204;0.705;3.059
10.206;0.683;3.039
10.208;0.646;2.995
10.210;0.651;2.965
10.212;0.667;2.944
10.214;0.703;2.951
10.216;0.737;2.964
10.218;0.740;2.971
10.220;0.736;2.972
10.222;0.731;2.956
10.224;0.729;2.940
10.226;0.748;2.937
10.228;0.771;2.940
10.230;0.795;2.954
10.232;0.815;2.963
10.234;0.824;2.943
10.236;0.826;2.918
10.238;0.814;2.896
10.240;0.797;2.875
10.242;0.775;2.858
10.244;0.773;2.844
10.246;0.770;2.839
10.248;0.748;2.854
10.250;0.721;2.875
10.252;0.684;2.894
10.254;0.650;2.918
10.256;0.640;2.953
10.258;0.637;2.995
10.260;0.634;3.055
10.262;0.625;3.110
10.264;0.589;3.125
10.266;0.558;3.134
10.268;0.557;3.165
10.270;0.569;3.191
10.272;0.609;3.204
10.274;0.652;3.201
10.276;0.669;3.160
10.278;0.675;3.097
10.280;0.668;3.015
10.282;0.661;2.934
10.284;0.665;2.862
10.286;0.677;2.812
10.288;0.711;2.834
10.290;0.740;2.872
10.292;0.738;2.882
10.294;0.732;2.888
10.296;0.738;2.890
10.298;0.744;2.886
10.300;0.755;2.884
10.302;0.754;2.873
10.304;0.706;2.812
10.306;0.646;2.749
10.308;0.582;2.711
10.310;0.566;2.734
10.312;0.570;2.783
10.314;0.590;2.861
10.316;0.625;2.938
10.318;0.674;2.973
10.320;0.726;2.982
10.322;0.787;2.948
10.324;0.834;2.901
10.326;0.822;2.857
10.328;0.785;2.821
10.330;0.721;2.804
10.332;0.666;2.804
10.334;0.676;2.835
10.336;0.699;2.884
10.338;0.719;2.957
10.340;0.731;3.028
10.342;0.692;3.063
10.344;0.646;3.085
10.346;0.633;3.099
10.348;0.637;3.110
10.350;0.676;3.134
10.352;0.717;3.150
10.354;0.726;3.130
10.356;0.725;3.093
10.358;0.712;3.040
10.360;0.702;2.997
10.362;0.715;2.998
10.364;0.732;3.011
10.366;0.753;3.031
10.368;0.762;3.037
10.370;0.722;2.975
10.372;0.688;2.922
10.374;0.689;2.939
10.376;0.739;2.982
10.378;0.792;3.028
10.380;0.799;3.033
10.382;0.784;3.023
10.384;0.725;3.002
10.386;0.675;2.981
10.388;0.696;2.973
10.390;0.727;2.964
10.392;0.731;2.942
10.394;0.730;2.920
10.396;0.716;2.907
10.398;0.705;2.901
10.400;0.721;2.910
10.402;0.736;2.925
10.404;0.731;2.929
10.406;0.721;2.933
10.408;0.704;2.935
10.410;0.691;2.965
10.412;0.685;3.001
10.414;0.697;3.034
10.416;0.707;3.058
10.418;0.699;3.047
10.420;0.684;3.026
10.422;0.646;3.012
10.424;0.611;2.997
10.426;0.615;2.979
10.428;0.631;2.960
10.430;0.635;2.924
10.432;0.648;2.906
10.434;0.701;2.970
10.436;0.758;3.040
10.438;0.805;3.076
10.440;0.832;3.078
10.442;0.797;2.981
10.444;0.745;2.889
10.446;0.683;2.800
10.448;0.639;2.763
10.450;0.602;2.743
10.452;0.569;2.719
10.454;0.547;2.703
10.456;0.554;2.707
10.458;0.574;2.734
10.460;0.604;2.794
10.462;0.632;2.864
10.464;0.646;2.947
10.466;0.653;3.012
10.468;0.638;3.010
10.470;0.617;2.986
10.472;0.612;2.952
10.474;0.611;2.916
10.476;0.609;2.894
10.478;0.610;2.881
10.480;0.625;2.886
10.482;0.645;2.895
10.484;0.670;2.901
10.486;0.679;2.899
10.488;0.635;2.869
10.490;0.577;2.841
10.492;0.509;2.829
10.494;0.456;2.831
10.496;0.473;2.865
10.498;0.510;2.911
10.500;0.544;2.956
10.502;0.568;2.992
10.504;0.550;3.001
10.506;0.516;2.993
10.508;0.474;2.949
10.510;0.436;2.900
10.512;0.412;2.855
10.514;0.435;2.836
10.516;0.480;2.831
10.518;0.557;2.851
10.520;0.625;2.869
10.522;0.631;2.852
10.524;0.609;2.824
10.526;0.548;2.780
10.528;0.490;2.746
10.530;0.485;2.754
10.532;0.495;2.782
10.534;0.516;2.841
10.536;0.537;2.905
10.538;0.537;2.937
10.540;0.529;2.961
10.542;0.518;2.981
10.544;0.510;3.001
10.546;0.512;3.035
10.548;0.515;3.066
10.550;0.523;3.075
10.552;0.530;3.066
10.554;0.516;3.027
10.556;0.502;2.989
10.558;0.514;2.985
10.560;0.530;2.978
10.562;0.544;2.948
10.564;0.553;2.912
10.566;0.541;2.859
10.568;0.524;2.813
10.570;0.529;2.802
10.572;0.528;2.806
10.574;0.501;2.813
10.576;0.444;2.825
10.578;0.379;2.839
10.580;0.325;2.834
10.582;0.280;2.832
10.584;0.263;2.853
10.586;0.264;2.887
10.588;0.288;2.946
10.590;0.321;3.005
10.592;0.354;3.048
10.594;0.381;3.063
10.596;0.390;3.009
10.598;0.383;2.933
10.600;0.347;2.852
10.602;0.296;2.767
10.604;0.207;2.696
10.606;0.134;2.640
10.608;0.145;2.598
10.610;0.196;2.585
10.612;0.303;2.652
10.614;0.408;2.730
10.616;0.449;2.764
10.618;0.449;2.773
10.620;0.375;2.722
10.622;0.277;2.661
10.624;0.170;2.628
10.626;0.086;2.616
10.628;0.084;2.642
10.630;0.123;2.695
10.632;0.217;2.803
10.634;0.316;2.919
10.636;0.366;3.009
10.638;0.402;3.068
10.640;0.427;3.053
10.642;0.442;2.999
10.644;0.436;2.923
10.646;0.368;2.841
10.648;0.298;2.764
10.650;0.272;2.705
10.652;0.278;2.675
10.654;0.355;2.716
10.656;0.444;2.781
10.658;0.485;2.837
10.660;0.503;2.885
10.662;0.491;2.902
10.664;0.468;2.916
10.666;0.440;2.943
10.668;0.414;2.974
10.670;0.404;3.013
10.672;0.395;3.042
10.674;0.383;3.046
10.676;0.369;3.031
10.678;0.355;3.008
10.680;0.363;3.006
10.682;0.371;3.000
10.684;0.354;2.965
10.686;0.333;2.923
10.688;0.318;2.884
10.690;0.300;2.834
10.692;0.287;2.754
10.694;0.266;2.673
10.696;0.215;2.590
10.698;0.160;2.525
10.700;0.117;2.512
10.702;0.086;2.530
10.704;0.090;2.578
10.706;0.107;2.648
10.708;0.133;2.742
10.710;0.141;2.825
10.712;0.147;2.896
10.714;0.153;2.927
10.716;0.160;2.942
10.718;0.179;2.954
10.720;0.194;2.961
10.722;0.191;2.973
10.724;0.177;2.979
10.726;0.150;2.963
10.728;0.112;2.926
10.730;0.083;2.859
10.732;0.051;2.788
10.734;0.032;2.731
10.736;-0.019;2.678
10.738;-0.162;2.629
10.740;-0.363;2.592
10.742;-0.721;2.579
10.744;-1.014;2.592
10.746;-0.980;2.654
10.748;-0.810;2.724
10.750;-0.458;2.771
10.752;-0.116;2.803
10.754;-0.067;2.800
10.756;-0.094;2.782
10.758;-0.099;2.757
10.760;-0.103;2.722
10.762;-0.074;2.682
10.764;-0.056;2.648
10.766;-0.074;2.642
10.768;-0.105;2.633
10.770;-0.135;2.602
10.772;-0.172;2.572
10.774;-0.198;2.543
10.776;-0.307;2.528
10.778;-0.440;2.519
10.780;-0.580;2.503
10.782;-0.703;2.482
10.784;-0.790;2.444
10.786;-0.811;2.434
10.788;-0.686;2.502
10.790;-0.507;2.602
10.792;-0.289;2.740
10.794;-0.085;2.880
10.796;0.004;2.970
10.798;0.046;3.041
10.800;0.042;3.102
10.802;0.036;3.148
10.804;0.100;3.176
10.806;0.167;3.182
10.808;0.199;3.152
10.810;0.209;3.106
10.812;0.166;3.049
10.814;0.123;2.999
10.816;0.145;2.990
10.818;0.192;2.990
10.820;0.257;2.991
10.822;0.315;2.987
10.824;0.333;2.952
10.826;0.338;2.918
10.828;0.330;2.913
10.830;0.324;2.919
10.832;0.339;2.946
10.834;0.345;2.976
10.836;0.322;2.980
10.838;0.296;2.978
10.840;0.276;2.976
10.842;0.253;2.985
10.844;0.229;2.993
10.846;0.196;2.994
10.848;0.178;2.997
10.850;0.216;3.009
10.852;0.268;3.021
10.854;0.331;3.041
10.856;0.377;3.047
10.858;0.337;3.005
10.860;0.277;2.949
10.862;0.224;2.891
10.864;0.197;2.841
10.866;0.259;2.828
10.868;0.344;2.829
10.870;0.434;2.837
10.872;0.508;2.845
10.874;0.508;2.833
10.876;0.488;2.826
10.878;0.476;2.840
10.880;0.466;2.864
10.882;0.471;2.904
10.884;0.477;2.939
10.886;0.470;2.944
10.888;0.455;2.944
10.890;0.429;2.949
10.892;0.400;2.951
10.894;0.373;2.954
10.896;0.352;2.964
10.898;0.347;2.985
10.900;0.348;3.000
10.902;0.346;3.004
10.904;0.345;3.000
10.906;0.339;2.964
10.908;0.343;2.965
10.910;0.354;2.978
10.912;0.374;3.010
10.914;0.393;3.043
10.916;0.402;3.058
10.918;0.406;3.061
10.920;0.397;3.057
10.922;0.387;3.042
10.924;0.394;3.006
10.926;0.401;2.956
10.928;0.407;2.885
10.930;0.402;2.817
10.932;0.360;2.776
10.934;0.303;2.750
10.936;0.232;2.741
10.938;0.161;2.738
10.940;0.102;2.722
10.942;0.074;2.706
10.944;0.069;2.699
10.946;0.093;2.732
10.948;0.138;2.774
10.950;0.198;2.804
10.952;0.274;2.833
10.954;0.371;2.854
10.956;0.458;2.874
10.958;0.497;2.903
10.960;0.514;2.933
10.962;0.495;2.954
10.964;0.468;2.968
10.966;0.469;2.973
10.968;0.468;2.971
10.970;0.448;2.955
10.972;0.412;2.935
10.974;0.353;2.917
10.976;0.246;2.900
10.978;0.137;2.887
10.980;0.062;2.883
10.982;0.016;2.883
10.984;0.030;2.884
10.986;0.072;2.890
10.988;0.113;2.892
10.990;0.172;2.898
10.992;0.272;2.917
10.994;0.376;2.939
10.996;0.454;2.958
10.998;0.517;2.969
11.000;0.544;2.961
11.002;0.558;2.939
11.004;0.586;2.901
11.006;0.601;2.858
11.008;0.581;2.816
11.010;0.545;2.773
11.012;0.493;2.734
11.014;0.436;2.697
11.016;0.386;2.661
11.018;0.349;2.631
11.020;0.346;2.606
11.022;0.356;2.603
11.024;0.379;2.656
11.026;0.410;2.729
11.028;0.433;2.810
11.030;0.452;2.890
11.032;0.471;2.946
11.034;0.490;2.989
11.036;0.517;3.023
11.038;0.536;3.050
11.040;0.542;3.060
11.042;0.522;3.080
11.044;0.491;3.096
11.046;0.453;3.108
11.048;0.417;3.112
11.050;0.399;3.097
11.052;0.391;3.074
11.054;0.400;3.050
11.056;0.420;3.031
11.058;0.450;3.029
11.060;0.483;3.033
11.062;0.522;3.043
11.064;0.554;3.054
11.066;0.560;3.071
11.068;0.557;3.085
11.070;0.533;3.085
11.072;0.508;3.065
11.074;0.509;2.998
11.076;0.524;2.931
11.078;0.563;2.908
11.080;0.596;2.902
11.082;0.586;2.923
11.084;0.565;2.949
11.086;0.543;2.950
11.088;0.527;2.951
11.090;0.555;2.977
11.092;0.579;3.011
11.094;0.546;3.053
11.096;0.503;3.087
11.098;0.473;3.087
11.100;0.452;3.085
11.102;0.459;3.104
11.104;0.480;3.130
11.106;0.496;3.181
11.108;0.535;3.202
11.110;0.565;3.206
11.112;0.562;3.176
11.114;0.540;3.128
11.116;0.466;3.072
11.118;0.401;3.018
11.120;0.425;2.982
11.122;0.471;2.955
11.124;0.521;2.952
11.126;0.561;2.952
11.128;0.538;2.932
11.130;0.499;2.905
11.132;0.478;2.872
11.134;0.458;2.846
11.136;0.440;2.849
11.138;0.416;2.857
11.140;0.359;2.850
11.142;0.311;2.851
11.144;0.315;2.879
11.146;0.341;2.915
11.148;0.392;2.965
11.150;0.439;3.014
11.152;0.440;3.028
11.154;0.431;3.030
11.156;0.433;3.040
11.158;0.432;3.038
11.160;0.421;3.003
11.162;0.400;2.953
11.164;0.356;2.888
11.166;0.309;2.814
11.168;0.265;2.735
11.170;0.241;2.677
11.172;0.258;2.665
11.174;0.342;2.720
11.176;0.439;2.795
11.178;0.518;2.843
11.180;0.561;2.873
11.182;0.496;2.861
11.184;0.405;2.837
11.186;0.318;2.805
11.188;0.251;2.783
11.190;0.268;2.804
11.192;0.309;2.856
11.194;0.346;2.964
11.196;0.390;3.075
11.198;0.429;3.153
11.200;0.465;3.207
11.202;0.515;3.208
11.204;0.560;3.181
11.206;0.573;3.143
11.208;0.559;3.083
11.210;0.542;3.023
11.212;0.553;2.988
11.214;0.568;2.967
11.216;0.587;2.972
11.218;0.607;2.987
11.220;0.619;2.992
11.222;0.622;2.995
11.224;0.616;3.010
11.226;0.595;3.027
11.228;0.531;3.036
11.230;0.464;3.044
11.232;0.423;3.050
11.234;0.403;3.056
11.236;0.432;3.078
11.238;0.473;3.100
11.240;0.507;3.120
11.242;0.514;3.113
11.244;0.511;3.087
11.246;0.501;3.015
11.248;0.479;2.940
11.250;0.447;2.899
11.252;0.413;2.882
11.254;0.387;2.931
11.256;0.354;2.973
11.258;0.290;2.925
11.260;0.221;2.853
11.262;0.138;2.752
11.264;0.092;2.681
11.266;0.167;2.738
11.268;0.278;2.832
11.270;0.404;2.942
11.272;0.508;3.037
11.274;0.507;3.034
11.276;0.462;2.999
11.278;0.381;2.964
11.280;0.290;2.929
11.282;0.215;2.912
11.284;0.155;2.888
11.286;0.131;2.816
11.288;0.128;2.759
11.290;0.157;2.780
11.292;0.194;2.826
11.294;0.195;2.889
11.296;0.202;2.945
11.298;0.264;2.948
11.300;0.332;2.934
11.302;0.390;2.928
11.304;0.420;2.906
11.306;0.350;2.830
11.308;0.285;2.753
11.310;0.249;2.701
11.312;0.347;2.727
11.314;0.469;2.787
11.316;0.546;2.880
11.318;0.598;2.983
11.320;0.589;3.080
11.322;0.561;3.158
11.324;0.535;3.170
11.326;0.517;3.158
11.328;0.532;3.135
11.330;0.560;3.110
11.332;0.609;3.117
11.334;0.651;3.122
11.336;0.644;3.087
11.338;0.625;3.042
11.340;0.619;3.013
11.342;0.610;2.993
11.344;0.587;2.985
11.346;0.562;2.982
11.348;0.534;2.984
11.350;0.510;2.988
11.352;0.523;2.995
11.354;0.531;2.999
11.356;0.471;2.987
11.358;0.401;2.969
11.360;0.345;2.947
11.362;0.312;2.932
11.364;0.358;2.943
11.366;0.424;2.965
11.368;0.471;2.993
11.370;0.497;3.013
11.372;0.478;3.009
11.374;0.438;2.986
11.376;0.379;2.936
11.378;0.292;2.825
11.380;0.229;2.727
11.382;0.248;2.697
11.384;0.298;2.702
11.386;0.403;2.799
11.388;0.508;2.904
11.390;0.531;2.911
11.392;0.526;2.894
11.394;0.510;2.873
11.396;0.472;2.848
11.398;0.378;2.826
11.400;0.298;2.821
11.402;0.299;2.846
11.404;0.336;2.890
11.406;0.433;2.983
11.408;0.537;3.073
11.410;0.577;3.118
11.412;0.599;3.136
11.414;0.624;3.106
11.416;0.639;3.057
11.418;0.629;3.017
11.420;0.608;2.976
11.422;0.567;2.937
11.424;0.535;2.900
11.426;0.564;2.875
11.428;0.604;2.850
11.430;0.627;2.822
11.432;0.635;2.792
11.434;0.588;2.749
11.436;0.545;2.715
11.438;0.551;2.705
11.440;0.603;2.727
11.442;0.661;2.767
11.444;0.683;2.815
11.446;0.687;2.854
11.448;0.670;2.853
11.450;0.641;2.843
11.452;0.586;2.822
11.454;0.538;2.808
11.456;0.537;2.845
11.458;0.565;2.904
11.460;0.646;2.989
11.462;0.727;3.054
11.464;0.747;3.034
11.466;0.752;2.988
11.468;0.753;2.916
11.470;0.752;2.861
11.472;0.784;2.913
11.474;0.773;2.964
11.476;0.737;3.006
11.478;0.647;2.973
