age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
0.488;0.086;3.951
0.490;0.017;3.899
0.492;-0.043;3.941
0.494;-0.100;4.033
0.496;-0.109;4.172
0.498;-0.098;4.298
0.500;-0.114;4.347
0.502;-0.119;4.368
0.504;-0.073;4.354
0.506;-0.008;4.330
0.508;0.081;4.331
0.510;0.161;4.325
0.512;0.187;4.297
0.514;0.189;4.269
0.516;0.173;4.248
0.518;0.123;4.237
0.520;0.037;4.243
0.522;-0.078;4.269
0.524;-0.278;4.319
0.526;-0.478;4.394
0.528;-0.604;4.515
0.530;-0.681;4.647
0.532;-0.654;4.773
0.534;-0.595;4.874
0.536;-0.533;4.909
0.538;-0.558;4.897
0.540;-0.591;4.853
0.542;-0.610;4.791
0.544;-0.612;4.716
0.546;-0.531;4.647
0.548;-0.449;4.576
0.550;-0.444;4.511
0.552;-0.453;4.448
0.554;-0.465;4.366
0.556;-0.464;4.282
0.558;-0.403;4.217
0.560;-0.328;4.182
0.562;-0.261;4.237
0.564;-0.191;4.281
0.566;-0.135;4.223
0.568;-0.093;4.128
0.570;-0.035;3.960
0.572;-0.009;3.844
0.574;-0.015;3.754
0.576;-0.057;3.689
0.578;-0.138;3.688
0.580;-0.323;3.837
0.582;-0.524;4.040
0.584;-0.699;4.283
0.586;-0.803;4.514
0.588;-0.694;4.637
0.590;-0.518;4.688
0.592;-0.344;4.646
0.594;-0.195;4.565
0.596;-0.167;4.451
0.598;-0.190;4.338
0.600;-0.243;4.315
0.602;-0.302;4.312
0.604;-0.355;4.288
0.606;-0.357;4.236
0.608;-0.337;4.176
0.610;-0.304;4.110
0.612;-0.273;4.038
0.614;-0.234;3.933
0.616;-0.213;3.863
0.618;-0.247;3.902
0.620;-0.313;4.011
0.622;-0.410;4.216
0.624;-0.553;4.477
0.626;-0.796;4.781
0.628;-1.018;5.065
0.630;-1.126;5.277
0.632;-1.171;5.425
0.634;-1.058;5.415
0.636;-0.924;5.346
0.638;-0.930;5.293
0.640;-0.975;5.236
0.642;-1.053;5.188
0.644;-1.113;5.142
0.646;-1.065;5.098
0.648;-0.994;5.059
0.650;-0.928;5.027
0.652;-0.890;5.000
0.654;-0.979;4.973
0.656;-1.081;4.948
0.658;-1.091;4.921
0.660;-1.086;4.897
0.662;-1.084;4.882
0.664;-1.080;4.876
0.666;-1.117;4.883
0.668;-1.162;4.886
0.670;-1.213;4.891
0.672;-1.101;4.842
0.674;-0.952;4.771
0.676;-0.804;4.694
0.678;-0.697;4.631
0.680;-0.799;4.638
0.682;-0.904;4.638
0.684;-0.826;4.553
0.686;-0.688;4.446
0.688;-0.446;4.323
0.690;-0.232;4.210
0.692;-0.266;4.182
0.694;-0.364;4.170
0.696;-0.429;4.104
0.698;-0.463;4.033
0.700;-0.376;3.985
0.702;-0.264;3.951
0.704;-0.187;3.940
0.706;-0.161;3.960
0.708;-0.235;4.023
0.710;-0.335;4.098
0.712;-0.425;4.169
0.714;-0.550;4.252
0.716;-0.769;4.346
0.718;-0.971;4.449
0.720;-1.089;4.592
0.722;-1.124;4.714
0.724;-0.949;4.747
0.726;-0.713;4.729
0.728;-0.504;4.630
0.730;-0.336;4.512
0.732;-0.291;4.429
0.734;-0.312;4.376
0.736;-0.408;4.382
0.738;-0.524;4.419
0.740;-0.672;4.487
0.742;-0.863;4.603
0.744;-1.042;4.722
0.746;-1.157;4.808
0.748;-1.234;4.860
